Reaction,Substrate,Substrate_MolWt,Substrate_MolLogP,Substrate_TPSA,Catalyst,Base,Solvent,Solvent_MolWt,Solvent_MolLogP,Solvent_TPSA,Yield
211,Brc1cccnc1,157.998,1.8441,12.89,brettphos-pd-g4,K3PO4,DMSO,78.136,-0.0053,17.07,31.2018
212,Brc1cccnc1,157.998,1.8441,12.89,brettphos-pd-g4,K3PO4,"1,4-Dioxane",88.106,0.0332,18.46,33.7251
213,Brc1cccnc1,157.998,1.8441,12.89,brettphos-pd-g4,K3PO4,t-AmOH,88.15,1.1673,20.23,36.1437
214,Brc1cccnc1,157.998,1.8441,12.89,brettphos-pd-g4,K3PO4,DMA,87.122,0.0945,20.31,34.2016
215,Brc1cccnc1,157.998,1.8441,12.89,brettphos-pd-g4,K3PO4,Toluene,92.141,1.995,0.0,35.2241
216,Brc1cccnc1,157.998,1.8441,12.89,brettphos-pd-g4,K3PO4,2-Me-THF,86.134,1.1853,9.23,32.7416
217,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g3-triflate,P2Et,DMSO,78.136,-0.0053,17.07,14.4682
218,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g3-triflate,P2Et,"1,4-Dioxane",88.106,0.0332,18.46,19.6163
219,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g3-triflate,P2Et,t-AmOH,88.15,1.1673,20.23,22.0348
220,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g3-triflate,P2Et,DMA,87.122,0.0945,20.31,20.0928
221,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g3-triflate,P2Et,Toluene,92.141,1.995,0.0,21.1152
222,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g3-triflate,P2Et,2-Me-THF,86.134,1.1853,9.23,18.6328
223,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g3-triflate,LiOTMS,DMSO,78.136,-0.0053,17.07,12.1151
224,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g3-triflate,LiOTMS,"1,4-Dioxane",88.106,0.0332,18.46,14.6384
225,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g3-triflate,LiOTMS,t-AmOH,88.15,1.1673,20.23,17.057
226,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g3-triflate,LiOTMS,DMA,87.122,0.0945,20.31,15.1149
227,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g3-triflate,LiOTMS,Toluene,92.141,1.995,0.0,16.1374
228,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g3-triflate,LiOTMS,2-Me-THF,86.134,1.1853,9.23,13.6549
229,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g3-triflate,NaOtBu,DMSO,78.136,-0.0053,17.07,17.7027
230,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g3-triflate,NaOtBu,"1,4-Dioxane",88.106,0.0332,18.46,20.226
231,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g3-triflate,NaOtBu,t-AmOH,88.15,1.1673,20.23,22.6445
232,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g3-triflate,NaOtBu,DMA,87.122,0.0945,20.31,20.7025
233,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g3-triflate,NaOtBu,Toluene,92.141,1.995,0.0,21.7249
234,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g3-triflate,NaOtBu,2-Me-THF,86.134,1.1853,9.23,19.2425
235,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g3-triflate,Cs2CO3,DMSO,78.136,-0.0053,17.07,17.8296
236,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g3-triflate,Cs2CO3,"1,4-Dioxane",88.106,0.0332,18.46,20.3529
237,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g3-triflate,Cs2CO3,t-AmOH,88.15,1.1673,20.23,22.7715
238,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g3-triflate,Cs2CO3,DMA,87.122,0.0945,20.31,20.8294
239,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g3-triflate,Cs2CO3,Toluene,92.141,1.995,0.0,21.8519
240,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g3-triflate,Cs2CO3,2-Me-THF,86.134,1.1853,9.23,19.3694
241,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g3-triflate,BTMG,DMSO,78.136,-0.0053,17.07,16.2982
242,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g3-triflate,BTMG,"1,4-Dioxane",88.106,0.0332,18.46,15.8711
243,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g3-triflate,BTMG,t-AmOH,88.15,1.1673,20.23,18.2896
244,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g3-triflate,BTMG,DMA,87.122,0.0945,20.31,16.3476
245,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g3-triflate,BTMG,Toluene,92.141,1.995,0.0,17.37
246,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g3-triflate,BTMG,2-Me-THF,86.134,1.1853,9.23,14.8876
247,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g3-triflate,K3PO4,DMSO,78.136,-0.0053,17.07,13.6147
248,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g3-triflate,K3PO4,"1,4-Dioxane",88.106,0.0332,18.46,16.138
249,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g3-triflate,K3PO4,t-AmOH,88.15,1.1673,20.23,18.5565
250,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g3-triflate,K3PO4,DMA,87.122,0.0945,20.31,16.6145
251,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g3-triflate,K3PO4,Toluene,92.141,1.995,0.0,17.6369
252,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g3-triflate,K3PO4,2-Me-THF,86.134,1.1853,9.23,15.1545
253,Brc1cccnc1,157.998,1.8441,12.89,adbrettphos-pd-g3-triflate,P2Et,DMSO,78.136,-0.0053,17.07,23.7036
254,Brc1cccnc1,157.998,1.8441,12.89,adbrettphos-pd-g3-triflate,P2Et,"1,4-Dioxane",88.106,0.0332,18.46,31.7473
255,Brc1cccnc1,157.998,1.8441,12.89,adbrettphos-pd-g3-triflate,P2Et,t-AmOH,88.15,1.1673,20.23,34.1658
256,Brc1cccnc1,157.998,1.8441,12.89,adbrettphos-pd-g3-triflate,P2Et,DMA,87.122,0.0945,20.31,32.2238
257,Brc1cccnc1,157.998,1.8441,12.89,adbrettphos-pd-g3-triflate,P2Et,Toluene,92.141,1.995,0.0,33.2462
258,Brc1cccnc1,157.998,1.8441,12.89,adbrettphos-pd-g3-triflate,P2Et,2-Me-THF,86.134,1.1853,9.23,30.7638
259,Brc1cccnc1,157.998,1.8441,12.89,adbrettphos-pd-g3-triflate,LiOTMS,DMSO,78.136,-0.0053,17.07,24.2461
260,Brc1cccnc1,157.998,1.8441,12.89,adbrettphos-pd-g3-triflate,LiOTMS,"1,4-Dioxane",88.106,0.0332,18.46,26.7695
261,Brc1cccnc1,157.998,1.8441,12.89,adbrettphos-pd-g3-triflate,LiOTMS,t-AmOH,88.15,1.1673,20.23,29.188
262,Brc1cccnc1,157.998,1.8441,12.89,adbrettphos-pd-g3-triflate,LiOTMS,DMA,87.122,0.0945,20.31,27.246
263,Brc1cccnc1,157.998,1.8441,12.89,adbrettphos-pd-g3-triflate,LiOTMS,Toluene,92.141,1.995,0.0,28.2684
264,Brc1cccnc1,157.998,1.8441,12.89,adbrettphos-pd-g3-triflate,LiOTMS,2-Me-THF,86.134,1.1853,9.23,25.786
265,Brc1cccnc1,157.998,1.8441,12.89,adbrettphos-pd-g3-triflate,NaOtBu,DMSO,78.136,-0.0053,17.07,29.8337
266,Brc1cccnc1,157.998,1.8441,12.89,adbrettphos-pd-g3-triflate,NaOtBu,"1,4-Dioxane",88.106,0.0332,18.46,32.357
267,Brc1cccnc1,157.998,1.8441,12.89,adbrettphos-pd-g3-triflate,NaOtBu,t-AmOH,88.15,1.1673,20.23,34.7756
268,Brc1cccnc1,157.998,1.8441,12.89,adbrettphos-pd-g3-triflate,NaOtBu,DMA,87.122,0.0945,20.31,32.8335
269,Brc1cccnc1,157.998,1.8441,12.89,adbrettphos-pd-g3-triflate,NaOtBu,Toluene,92.141,1.995,0.0,33.8559
270,Brc1cccnc1,157.998,1.8441,12.89,adbrettphos-pd-g3-triflate,NaOtBu,2-Me-THF,86.134,1.1853,9.23,31.3735
271,Brc1cccnc1,157.998,1.8441,12.89,adbrettphos-pd-g3-triflate,Cs2CO3,DMSO,78.136,-0.0053,17.07,29.9607
272,Brc1cccnc1,157.998,1.8441,12.89,adbrettphos-pd-g3-triflate,Cs2CO3,"1,4-Dioxane",88.106,0.0332,18.46,32.484
273,Brc1cccnc1,157.998,1.8441,12.89,adbrettphos-pd-g3-triflate,Cs2CO3,t-AmOH,88.15,1.1673,20.23,34.9025
274,Brc1cccnc1,157.998,1.8441,12.89,adbrettphos-pd-g3-triflate,Cs2CO3,DMA,87.122,0.0945,20.31,32.9605
275,Brc1cccnc1,157.998,1.8441,12.89,adbrettphos-pd-g3-triflate,Cs2CO3,Toluene,92.141,1.995,0.0,33.9829
276,Brc1cccnc1,157.998,1.8441,12.89,adbrettphos-pd-g3-triflate,Cs2CO3,2-Me-THF,86.134,1.1853,9.23,31.5005
277,Brc1cccnc1,157.998,1.8441,12.89,adbrettphos-pd-g3-triflate,BTMG,DMSO,78.136,-0.0053,17.07,41.0254
278,Brc1cccnc1,157.998,1.8441,12.89,adbrettphos-pd-g3-triflate,BTMG,"1,4-Dioxane",88.106,0.0332,18.46,28.0021
279,Brc1cccnc1,157.998,1.8441,12.89,adbrettphos-pd-g3-triflate,BTMG,t-AmOH,88.15,1.1673,20.23,30.4207
280,Brc1cccnc1,157.998,1.8441,12.89,adbrettphos-pd-g3-triflate,BTMG,DMA,87.122,0.0945,20.31,28.4786
281,Brc1cccnc1,157.998,1.8441,12.89,adbrettphos-pd-g3-triflate,BTMG,Toluene,92.141,1.995,0.0,29.5011
282,Brc1cccnc1,157.998,1.8441,12.89,adbrettphos-pd-g3-triflate,BTMG,2-Me-THF,86.134,1.1853,9.23,27.0186
283,Brc1cccnc1,157.998,1.8441,12.89,adbrettphos-pd-g3-triflate,K3PO4,DMSO,78.136,-0.0053,17.07,25.7457
284,Brc1cccnc1,157.998,1.8441,12.89,adbrettphos-pd-g3-triflate,K3PO4,"1,4-Dioxane",88.106,0.0332,18.46,28.269
285,Brc1cccnc1,157.998,1.8441,12.89,adbrettphos-pd-g3-triflate,K3PO4,t-AmOH,88.15,1.1673,20.23,30.6876
286,Brc1cccnc1,157.998,1.8441,12.89,adbrettphos-pd-g3-triflate,K3PO4,DMA,87.122,0.0945,20.31,28.7455
287,Brc1cccnc1,157.998,1.8441,12.89,adbrettphos-pd-g3-triflate,K3PO4,Toluene,92.141,1.995,0.0,29.7679
288,Brc1cccnc1,157.998,1.8441,12.89,adbrettphos-pd-g3-triflate,K3PO4,2-Me-THF,86.134,1.1853,9.23,27.2855
289,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,cphos-pd-g4,P2Et,DMSO,78.136,-0.0053,17.07,9.4771
290,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,cphos-pd-g4,P2Et,"1,4-Dioxane",88.106,0.0332,18.46,12.0004
291,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,cphos-pd-g4,P2Et,t-AmOH,88.15,1.1673,20.23,14.4189
292,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,cphos-pd-g4,P2Et,DMA,87.122,0.0945,20.31,12.4769
293,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,cphos-pd-g4,P2Et,Toluene,92.141,1.995,0.0,13.4993
294,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,cphos-pd-g4,P2Et,2-Me-THF,86.134,1.1853,9.23,11.0169
295,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,cphos-pd-g4,LiOTMS,DMSO,78.136,-0.0053,17.07,4.4992
296,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,cphos-pd-g4,LiOTMS,"1,4-Dioxane",88.106,0.0332,18.46,7.0226
297,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,cphos-pd-g4,LiOTMS,t-AmOH,88.15,1.1673,20.23,9.4411
298,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,cphos-pd-g4,LiOTMS,DMA,87.122,0.0945,20.31,7.4991
299,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,cphos-pd-g4,LiOTMS,Toluene,92.141,1.995,0.0,8.5215
300,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,cphos-pd-g4,LiOTMS,2-Me-THF,86.134,1.1853,9.23,6.0391
301,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,cphos-pd-g4,NaOtBu,DMSO,78.136,-0.0053,17.07,10.0868
302,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,cphos-pd-g4,NaOtBu,"1,4-Dioxane",88.106,0.0332,18.46,12.6101
303,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,cphos-pd-g4,NaOtBu,t-AmOH,88.15,1.1673,20.23,15.0287
304,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,cphos-pd-g4,NaOtBu,DMA,87.122,0.0945,20.31,13.0866
305,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,cphos-pd-g4,NaOtBu,Toluene,92.141,1.995,0.0,14.109
306,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,cphos-pd-g4,NaOtBu,2-Me-THF,86.134,1.1853,9.23,11.6266
307,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,cphos-pd-g4,Cs2CO3,DMSO,78.136,-0.0053,17.07,10.2137
308,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,cphos-pd-g4,Cs2CO3,"1,4-Dioxane",88.106,0.0332,18.46,12.7371
309,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,cphos-pd-g4,Cs2CO3,t-AmOH,88.15,1.1673,20.23,15.1556
310,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,cphos-pd-g4,Cs2CO3,DMA,87.122,0.0945,20.31,13.2136
311,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,cphos-pd-g4,Cs2CO3,Toluene,92.141,1.995,0.0,14.236
312,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,cphos-pd-g4,Cs2CO3,2-Me-THF,86.134,1.1853,9.23,11.7536
313,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,cphos-pd-g4,BTMG,DMSO,78.136,-0.0053,17.07,5.7319
314,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,cphos-pd-g4,BTMG,"1,4-Dioxane",88.106,0.0332,18.46,8.2552
315,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,cphos-pd-g4,BTMG,t-AmOH,88.15,1.1673,20.23,10.6738
316,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,cphos-pd-g4,BTMG,DMA,87.122,0.0945,20.31,8.7317
317,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,cphos-pd-g4,BTMG,Toluene,92.141,1.995,0.0,9.7541
318,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,cphos-pd-g4,BTMG,2-Me-THF,86.134,1.1853,9.23,7.2717
319,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,cphos-pd-g4,K3PO4,DMSO,78.136,-0.0053,17.07,5.9988
320,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,cphos-pd-g4,K3PO4,"1,4-Dioxane",88.106,0.0332,18.46,8.5221
321,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,cphos-pd-g4,K3PO4,t-AmOH,88.15,1.1673,20.23,10.9407
322,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,cphos-pd-g4,K3PO4,DMA,87.122,0.0945,20.31,8.9986
323,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,cphos-pd-g4,K3PO4,Toluene,92.141,1.995,0.0,10.021
324,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,cphos-pd-g4,K3PO4,2-Me-THF,86.134,1.1853,9.23,7.5386
325,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,ruphos-pd-g4,P2Et,DMSO,78.136,-0.0053,17.07,16.8257
326,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,ruphos-pd-g4,P2Et,"1,4-Dioxane",88.106,0.0332,18.46,19.349
327,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,ruphos-pd-g4,P2Et,t-AmOH,88.15,1.1673,20.23,21.7676
328,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,ruphos-pd-g4,P2Et,DMA,87.122,0.0945,20.31,19.8255
329,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,ruphos-pd-g4,P2Et,Toluene,92.141,1.995,0.0,20.8479
330,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,ruphos-pd-g4,P2Et,2-Me-THF,86.134,1.1853,9.23,18.3655
331,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,ruphos-pd-g4,LiOTMS,DMSO,78.136,-0.0053,17.07,11.8479
332,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,ruphos-pd-g4,LiOTMS,"1,4-Dioxane",88.106,0.0332,18.46,14.3712
333,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,ruphos-pd-g4,LiOTMS,t-AmOH,88.15,1.1673,20.23,16.7897
334,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,ruphos-pd-g4,LiOTMS,DMA,87.122,0.0945,20.31,14.8477
335,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,ruphos-pd-g4,LiOTMS,Toluene,92.141,1.995,0.0,15.8701
336,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,ruphos-pd-g4,LiOTMS,2-Me-THF,86.134,1.1853,9.23,13.3877
337,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,ruphos-pd-g4,NaOtBu,DMSO,78.136,-0.0053,17.07,17.4354
338,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,ruphos-pd-g4,NaOtBu,"1,4-Dioxane",88.106,0.0332,18.46,19.9587
339,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,ruphos-pd-g4,NaOtBu,t-AmOH,88.15,1.1673,20.23,22.3773
340,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,ruphos-pd-g4,NaOtBu,DMA,87.122,0.0945,20.31,20.4352
341,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,ruphos-pd-g4,NaOtBu,Toluene,92.141,1.995,0.0,21.4576
342,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,ruphos-pd-g4,NaOtBu,2-Me-THF,86.134,1.1853,9.23,18.9752
343,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,ruphos-pd-g4,Cs2CO3,DMSO,78.136,-0.0053,17.07,17.5624
344,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,ruphos-pd-g4,Cs2CO3,"1,4-Dioxane",88.106,0.0332,18.46,20.0857
345,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,ruphos-pd-g4,Cs2CO3,t-AmOH,88.15,1.1673,20.23,22.5042
346,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,ruphos-pd-g4,Cs2CO3,DMA,87.122,0.0945,20.31,20.5622
347,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,ruphos-pd-g4,Cs2CO3,Toluene,92.141,1.995,0.0,21.5846
348,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,ruphos-pd-g4,Cs2CO3,2-Me-THF,86.134,1.1853,9.23,19.1022
349,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,ruphos-pd-g4,BTMG,DMSO,78.136,-0.0053,17.07,13.0805
350,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,ruphos-pd-g4,BTMG,"1,4-Dioxane",88.106,0.0332,18.46,15.6038
351,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,ruphos-pd-g4,BTMG,t-AmOH,88.15,1.1673,20.23,18.0224
352,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,ruphos-pd-g4,BTMG,DMA,87.122,0.0945,20.31,16.0803
353,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,ruphos-pd-g4,BTMG,Toluene,92.141,1.995,0.0,17.1028
354,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,ruphos-pd-g4,BTMG,2-Me-THF,86.134,1.1853,9.23,14.6203
355,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,ruphos-pd-g4,K3PO4,DMSO,78.136,-0.0053,17.07,13.3474
356,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,ruphos-pd-g4,K3PO4,"1,4-Dioxane",88.106,0.0332,18.46,15.8707
357,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,ruphos-pd-g4,K3PO4,t-AmOH,88.15,1.1673,20.23,18.2893
358,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,ruphos-pd-g4,K3PO4,DMA,87.122,0.0945,20.31,16.3472
359,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,ruphos-pd-g4,K3PO4,Toluene,92.141,1.995,0.0,17.3697
360,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,ruphos-pd-g4,K3PO4,2-Me-THF,86.134,1.1853,9.23,14.8872
361,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,p(tbu)3-pd-g4,P2Et,DMSO,78.136,-0.0053,17.07,18.3239
362,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,p(tbu)3-pd-g4,P2Et,"1,4-Dioxane",88.106,0.0332,18.46,20.8472
363,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,p(tbu)3-pd-g4,P2Et,t-AmOH,88.15,1.1673,20.23,23.2658
364,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,p(tbu)3-pd-g4,P2Et,DMA,87.122,0.0945,20.31,21.3237
365,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,p(tbu)3-pd-g4,P2Et,Toluene,92.141,1.995,0.0,22.3462
366,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,p(tbu)3-pd-g4,P2Et,2-Me-THF,86.134,1.1853,9.23,19.8637
367,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,p(tbu)3-pd-g4,LiOTMS,DMSO,78.136,-0.0053,17.07,13.3461
368,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,p(tbu)3-pd-g4,LiOTMS,"1,4-Dioxane",88.106,0.0332,18.46,15.8694
369,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,p(tbu)3-pd-g4,LiOTMS,t-AmOH,88.15,1.1673,20.23,18.2879
370,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,p(tbu)3-pd-g4,LiOTMS,DMA,87.122,0.0945,20.31,16.3459
371,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,p(tbu)3-pd-g4,LiOTMS,Toluene,92.141,1.995,0.0,17.3683
372,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,p(tbu)3-pd-g4,LiOTMS,2-Me-THF,86.134,1.1853,9.23,14.8859
373,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,p(tbu)3-pd-g4,NaOtBu,DMSO,78.136,-0.0053,17.07,18.9336
374,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,p(tbu)3-pd-g4,NaOtBu,"1,4-Dioxane",88.106,0.0332,18.46,21.4569
375,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,p(tbu)3-pd-g4,NaOtBu,t-AmOH,88.15,1.1673,20.23,23.8755
376,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,p(tbu)3-pd-g4,NaOtBu,DMA,87.122,0.0945,20.31,21.9334
377,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,p(tbu)3-pd-g4,NaOtBu,Toluene,92.141,1.995,0.0,22.9559
378,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,p(tbu)3-pd-g4,NaOtBu,2-Me-THF,86.134,1.1853,9.23,20.4734
379,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,p(tbu)3-pd-g4,Cs2CO3,DMSO,78.136,-0.0053,17.07,19.0606
380,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,p(tbu)3-pd-g4,Cs2CO3,"1,4-Dioxane",88.106,0.0332,18.46,21.5839
381,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,p(tbu)3-pd-g4,Cs2CO3,t-AmOH,88.15,1.1673,20.23,24.0024
382,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,p(tbu)3-pd-g4,Cs2CO3,DMA,87.122,0.0945,20.31,22.0604
383,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,p(tbu)3-pd-g4,Cs2CO3,Toluene,92.141,1.995,0.0,23.0828
384,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,p(tbu)3-pd-g4,Cs2CO3,2-Me-THF,86.134,1.1853,9.23,20.6004
385,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,p(tbu)3-pd-g4,BTMG,DMSO,78.136,-0.0053,17.07,14.5787
386,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,p(tbu)3-pd-g4,BTMG,"1,4-Dioxane",88.106,0.0332,18.46,17.102
387,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,p(tbu)3-pd-g4,BTMG,t-AmOH,88.15,1.1673,20.23,19.5206
388,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,p(tbu)3-pd-g4,BTMG,DMA,87.122,0.0945,20.31,17.5785
389,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,p(tbu)3-pd-g4,BTMG,Toluene,92.141,1.995,0.0,18.601
390,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,p(tbu)3-pd-g4,BTMG,2-Me-THF,86.134,1.1853,9.23,16.1185
391,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,p(tbu)3-pd-g4,K3PO4,DMSO,78.136,-0.0053,17.07,14.8456
392,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,p(tbu)3-pd-g4,K3PO4,"1,4-Dioxane",88.106,0.0332,18.46,17.3689
393,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,p(tbu)3-pd-g4,K3PO4,t-AmOH,88.15,1.1673,20.23,19.7875
394,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,p(tbu)3-pd-g4,K3PO4,DMA,87.122,0.0945,20.31,17.8454
395,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,p(tbu)3-pd-g4,K3PO4,Toluene,92.141,1.995,0.0,18.8679
396,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,p(tbu)3-pd-g4,K3PO4,2-Me-THF,86.134,1.1853,9.23,16.3854
397,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,empty,P2Et,DMSO,78.136,-0.0053,17.07,12.4572
398,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,empty,P2Et,"1,4-Dioxane",88.106,0.0332,18.46,1.3636
399,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,empty,P2Et,t-AmOH,88.15,1.1673,20.23,9.5455
400,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,empty,P2Et,DMA,87.122,0.0945,20.31,15.457
401,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,empty,P2Et,Toluene,92.141,1.995,0.0,0.0
402,Brc1ccc2ncccc2c1,208.058,2.9973,12.89,empty,P2Et,2-Me-THF,86.134,1.1853,9.23,13.997
