Reaction,Substrate,Catalyst,Base,Solvent,Yield
327,Brc1ccc2ncccc2c1,ruphos-pd-g4,P2Et,t-AmOH,23.94430509
328,Brc1ccc2ncccc2c1,ruphos-pd-g4,P2Et,DMA,21.80804985
329,Brc1ccc2ncccc2c1,ruphos-pd-g4,P2Et,Toluene,22.93273168
330,Brc1ccc2ncccc2c1,ruphos-pd-g4,P2Et,2-Me-THF,20.20204585
331,Brc1ccc2ncccc2c1,ruphos-pd-g4,LiOTMS,DMSO,13.03263653
332,Brc1ccc2ncccc2c1,ruphos-pd-g4,LiOTMS,"1,4-Dioxane",15.80829304
333,Brc1ccc2ncccc2c1,ruphos-pd-g4,LiOTMS,t-AmOH,18.46869279
334,Brc1ccc2ncccc2c1,ruphos-pd-g4,LiOTMS,DMA,16.33243756
335,Brc1ccc2ncccc2c1,ruphos-pd-g4,LiOTMS,Toluene,17.45711939
336,Brc1ccc2ncccc2c1,ruphos-pd-g4,LiOTMS,2-Me-THF,14.72643356
337,Brc1ccc2ncccc2c1,ruphos-pd-g4,NaOtBu,DMSO,19.1789315
338,Brc1ccc2ncccc2c1,ruphos-pd-g4,NaOtBu,"1,4-Dioxane",21.95458801
339,Brc1ccc2ncccc2c1,ruphos-pd-g4,NaOtBu,t-AmOH,24.61498777
340,Brc1ccc2ncccc2c1,ruphos-pd-g4,NaOtBu,DMA,22.47873253
341,Brc1ccc2ncccc2c1,ruphos-pd-g4,NaOtBu,Toluene,23.60341436
342,Brc1ccc2ncccc2c1,ruphos-pd-g4,NaOtBu,2-Me-THF,20.87272853
343,Brc1ccc2ncccc2c1,ruphos-pd-g4,Cs2CO3,DMSO,19.31859179
344,Brc1ccc2ncccc2c1,ruphos-pd-g4,Cs2CO3,"1,4-Dioxane",22.09424831
345,Brc1ccc2ncccc2c1,ruphos-pd-g4,Cs2CO3,t-AmOH,24.75464806
346,Brc1ccc2ncccc2c1,ruphos-pd-g4,Cs2CO3,DMA,22.61839283
347,Brc1ccc2ncccc2c1,ruphos-pd-g4,Cs2CO3,Toluene,23.74307465
348,Brc1ccc2ncccc2c1,ruphos-pd-g4,Cs2CO3,2-Me-THF,21.01238882
349,Brc1ccc2ncccc2c1,ruphos-pd-g4,BTMG,DMSO,14.38854727
350,Brc1ccc2ncccc2c1,ruphos-pd-g4,BTMG,"1,4-Dioxane",17.16420378
351,Brc1ccc2ncccc2c1,ruphos-pd-g4,BTMG,t-AmOH,19.82460354
352,Brc1ccc2ncccc2c1,ruphos-pd-g4,BTMG,DMA,17.6883483
353,Brc1ccc2ncccc2c1,ruphos-pd-g4,BTMG,Toluene,18.81303013
354,Brc1ccc2ncccc2c1,ruphos-pd-g4,BTMG,2-Me-THF,16.0823443
355,Brc1ccc2ncccc2c1,ruphos-pd-g4,K3PO4,DMSO,14.68213315
356,Brc1ccc2ncccc2c1,ruphos-pd-g4,K3PO4,"1,4-Dioxane",17.45778966
357,Brc1ccc2ncccc2c1,ruphos-pd-g4,K3PO4,t-AmOH,20.11818941
358,Brc1ccc2ncccc2c1,ruphos-pd-g4,K3PO4,DMA,17.98193418
359,Brc1ccc2ncccc2c1,ruphos-pd-g4,K3PO4,Toluene,19.106616
360,Brc1ccc2ncccc2c1,ruphos-pd-g4,K3PO4,2-Me-THF,16.37593017
361,Brc1ccc2ncccc2c1,p(tbu)3-pd-g4,P2Et,DMSO,20.15629332
362,Brc1ccc2ncccc2c1,p(tbu)3-pd-g4,P2Et,"1,4-Dioxane",22.93194983
363,Brc1ccc2ncccc2c1,p(tbu)3-pd-g4,P2Et,t-AmOH,25.59234958
364,Brc1ccc2ncccc2c1,p(tbu)3-pd-g4,P2Et,DMA,23.45609435
365,Brc1ccc2ncccc2c1,p(tbu)3-pd-g4,P2Et,Toluene,24.58077617
366,Brc1ccc2ncccc2c1,p(tbu)3-pd-g4,P2Et,2-Me-THF,21.85009034
367,Brc1ccc2ncccc2c1,p(tbu)3-pd-g4,LiOTMS,DMSO,14.68068102
368,Brc1ccc2ncccc2c1,p(tbu)3-pd-g4,LiOTMS,"1,4-Dioxane",17.45633754
369,Brc1ccc2ncccc2c1,p(tbu)3-pd-g4,LiOTMS,t-AmOH,20.11673729
370,Brc1ccc2ncccc2c1,p(tbu)3-pd-g4,LiOTMS,DMA,17.98048205
371,Brc1ccc2ncccc2c1,p(tbu)3-pd-g4,LiOTMS,Toluene,19.10516388
372,Brc1ccc2ncccc2c1,p(tbu)3-pd-g4,LiOTMS,2-Me-THF,16.37447805
373,Brc1ccc2ncccc2c1,p(tbu)3-pd-g4,NaOtBu,DMSO,20.826976
374,Brc1ccc2ncccc2c1,p(tbu)3-pd-g4,NaOtBu,"1,4-Dioxane",23.60263251
375,Brc1ccc2ncccc2c1,p(tbu)3-pd-g4,NaOtBu,t-AmOH,26.26303226
376,Brc1ccc2ncccc2c1,p(tbu)3-pd-g4,NaOtBu,DMA,24.12677703
377,Brc1ccc2ncccc2c1,p(tbu)3-pd-g4,NaOtBu,Toluene,25.25145885
378,Brc1ccc2ncccc2c1,p(tbu)3-pd-g4,NaOtBu,2-Me-THF,22.52077302
379,Brc1ccc2ncccc2c1,p(tbu)3-pd-g4,Cs2CO3,DMSO,20.96663629
380,Brc1ccc2ncccc2c1,p(tbu)3-pd-g4,Cs2CO3,"1,4-Dioxane",23.7422928
381,Brc1ccc2ncccc2c1,p(tbu)3-pd-g4,Cs2CO3,t-AmOH,26.40269255
382,Brc1ccc2ncccc2c1,p(tbu)3-pd-g4,Cs2CO3,DMA,24.26643732
383,Brc1ccc2ncccc2c1,p(tbu)3-pd-g4,Cs2CO3,Toluene,25.39111914
384,Brc1ccc2ncccc2c1,p(tbu)3-pd-g4,Cs2CO3,2-Me-THF,22.66043331
385,Brc1ccc2ncccc2c1,p(tbu)3-pd-g4,BTMG,DMSO,16.03659177
386,Brc1ccc2ncccc2c1,p(tbu)3-pd-g4,BTMG,"1,4-Dioxane",18.81224828
387,Brc1ccc2ncccc2c1,p(tbu)3-pd-g4,BTMG,t-AmOH,21.47264803
388,Brc1ccc2ncccc2c1,p(tbu)3-pd-g4,BTMG,DMA,19.3363928
389,Brc1ccc2ncccc2c1,p(tbu)3-pd-g4,BTMG,Toluene,20.46107462
390,Brc1ccc2ncccc2c1,p(tbu)3-pd-g4,BTMG,2-Me-THF,17.73038879
391,Brc1ccc2ncccc2c1,p(tbu)3-pd-g4,K3PO4,DMSO,16.33017764
392,Brc1ccc2ncccc2c1,p(tbu)3-pd-g4,K3PO4,"1,4-Dioxane",19.10583415
393,Brc1ccc2ncccc2c1,p(tbu)3-pd-g4,K3PO4,t-AmOH,21.76623391
394,Brc1ccc2ncccc2c1,p(tbu)3-pd-g4,K3PO4,DMA,19.62997867
395,Brc1ccc2ncccc2c1,p(tbu)3-pd-g4,K3PO4,Toluene,20.7546605
396,Brc1ccc2ncccc2c1,p(tbu)3-pd-g4,K3PO4,2-Me-THF,18.02397467
397,Brc1ccc2ncccc2c1,empty,P2Et,DMSO,13.70288459
398,Brc1ccc2ncccc2c1,empty,P2Et,"1,4-Dioxane",1.5
399,Brc1ccc2ncccc2c1,empty,P2Et,t-AmOH,10.5
400,Brc1ccc2ncccc2c1,empty,P2Et,DMA,17.00268562
401,Brc1ccc2ncccc2c1,empty,P2Et,Toluene,0
402,Brc1ccc2ncccc2c1,empty,P2Et,2-Me-THF,15.39668161
403,Brc1ccc2ncccc2c1,empty,LiOTMS,DMSO,8.227272294
404,Brc1ccc2ncccc2c1,empty,LiOTMS,"1,4-Dioxane",11.00292881
405,Brc1ccc2ncccc2c1,empty,LiOTMS,t-AmOH,13.66332856
406,Brc1ccc2ncccc2c1,empty,LiOTMS,DMA,11.52707332
407,Brc1ccc2ncccc2c1,empty,LiOTMS,Toluene,12.65175515
408,Brc1ccc2ncccc2c1,empty,LiOTMS,2-Me-THF,9.92106932
409,Brc1ccc2ncccc2c1,empty,NaOtBu,DMSO,14.37356727
410,Brc1ccc2ncccc2c1,empty,NaOtBu,"1,4-Dioxane",17.14922378
411,Brc1ccc2ncccc2c1,empty,NaOtBu,t-AmOH,19.80962353
412,Brc1ccc2ncccc2c1,empty,NaOtBu,DMA,17.6733683
413,Brc1ccc2ncccc2c1,empty,NaOtBu,Toluene,18.79805012
414,Brc1ccc2ncccc2c1,empty,NaOtBu,2-Me-THF,16.06736429
415,Brc1ccc2ncccc2c1,empty,Cs2CO3,DMSO,14.51322756
416,Brc1ccc2ncccc2c1,empty,Cs2CO3,"1,4-Dioxane",28.16666667
417,Brc1ccc2ncccc2c1,empty,Cs2CO3,t-AmOH,40.33333333
418,Brc1ccc2ncccc2c1,empty,Cs2CO3,DMA,17.81302859
419,Brc1ccc2ncccc2c1,empty,Cs2CO3,Toluene,33.16666667
420,Brc1ccc2ncccc2c1,empty,Cs2CO3,2-Me-THF,16.20702458
421,Brc1ccc2ncccc2c1,empty,BTMG,DMSO,9.583183038
422,Brc1ccc2ncccc2c1,empty,BTMG,"1,4-Dioxane",12.35883955
423,Brc1ccc2ncccc2c1,empty,BTMG,t-AmOH,15.0192393
424,Brc1ccc2ncccc2c1,empty,BTMG,DMA,12.88298407
425,Brc1ccc2ncccc2c1,empty,BTMG,Toluene,14.00766589
426,Brc1ccc2ncccc2c1,empty,BTMG,2-Me-THF,11.27698006
427,Brc1ccc2ncccc2c1,empty,K3PO4,DMSO,9.876768913
428,Brc1ccc2ncccc2c1,empty,K3PO4,"1,4-Dioxane",0
429,Brc1ccc2ncccc2c1,empty,K3PO4,t-AmOH,0
430,Brc1ccc2ncccc2c1,empty,K3PO4,DMA,13.17656994
431,Brc1ccc2ncccc2c1,empty,K3PO4,Toluene,8.75
432,Brc1ccc2ncccc2c1,empty,K3PO4,2-Me-THF,11.57056594
433,Brc1ccc2ncccc2c1,xphos-pd-g4,P2Et,DMSO,19.07398898
434,Brc1ccc2ncccc2c1,xphos-pd-g4,P2Et,"1,4-Dioxane",21.84964549
435,Brc1ccc2ncccc2c1,xphos-pd-g4,P2Et,t-AmOH,24.51004524
436,Brc1ccc2ncccc2c1,xphos-pd-g4,P2Et,DMA,22.37379001
437,Brc1ccc2ncccc2c1,xphos-pd-g4,P2Et,Toluene,23.49847183
438,Brc1ccc2ncccc2c1,xphos-pd-g4,P2Et,2-Me-THF,20.767786
439,Brc1ccc2ncccc2c1,xphos-pd-g4,LiOTMS,DMSO,13.59837668
440,Brc1ccc2ncccc2c1,xphos-pd-g4,LiOTMS,"1,4-Dioxane",16.3740332
441,Brc1ccc2ncccc2c1,xphos-pd-g4,LiOTMS,t-AmOH,19.03443295
442,Brc1ccc2ncccc2c1,xphos-pd-g4,LiOTMS,DMA,16.89817771
443,Brc1ccc2ncccc2c1,xphos-pd-g4,LiOTMS,Toluene,18.02285954
444,Brc1ccc2ncccc2c1,xphos-pd-g4,LiOTMS,2-Me-THF,15.29217371
445,Brc1ccc2ncccc2c1,xphos-pd-g4,NaOtBu,DMSO,19.74467166
446,Brc1ccc2ncccc2c1,xphos-pd-g4,NaOtBu,"1,4-Dioxane",22.52032817
447,Brc1ccc2ncccc2c1,xphos-pd-g4,NaOtBu,t-AmOH,25.18072792
448,Brc1ccc2ncccc2c1,xphos-pd-g4,NaOtBu,DMA,23.04447269
449,Brc1ccc2ncccc2c1,xphos-pd-g4,NaOtBu,Toluene,24.16915451
450,Brc1ccc2ncccc2c1,xphos-pd-g4,NaOtBu,2-Me-THF,21.43846868
451,Brc1ccc2ncccc2c1,xphos-pd-g4,Cs2CO3,DMSO,19.88433195
452,Brc1ccc2ncccc2c1,xphos-pd-g4,Cs2CO3,"1,4-Dioxane",22.65998846
453,Brc1ccc2ncccc2c1,xphos-pd-g4,Cs2CO3,t-AmOH,25.32038821
454,Brc1ccc2ncccc2c1,xphos-pd-g4,Cs2CO3,DMA,23.18413298
455,Brc1ccc2ncccc2c1,xphos-pd-g4,Cs2CO3,Toluene,24.3088148
456,Brc1ccc2ncccc2c1,xphos-pd-g4,Cs2CO3,2-Me-THF,21.57812897
457,Brc1ccc2ncccc2c1,xphos-pd-g4,BTMG,DMSO,14.95428743
458,Brc1ccc2ncccc2c1,xphos-pd-g4,BTMG,"1,4-Dioxane",17.72994394
459,Brc1ccc2ncccc2c1,xphos-pd-g4,BTMG,t-AmOH,20.39034369
460,Brc1ccc2ncccc2c1,xphos-pd-g4,BTMG,DMA,18.25408846
461,Brc1ccc2ncccc2c1,xphos-pd-g4,BTMG,Toluene,19.37877028
462,Brc1ccc2ncccc2c1,xphos-pd-g4,BTMG,2-Me-THF,16.64808445
463,Brc1ccc2ncccc2c1,xphos-pd-g4,K3PO4,DMSO,15.2478733
464,Brc1ccc2ncccc2c1,xphos-pd-g4,K3PO4,"1,4-Dioxane",18.02352981
465,Brc1ccc2ncccc2c1,xphos-pd-g4,K3PO4,t-AmOH,20.68392957
466,Brc1ccc2ncccc2c1,xphos-pd-g4,K3PO4,DMA,18.54767433
467,Brc1ccc2ncccc2c1,xphos-pd-g4,K3PO4,Toluene,19.67235616
468,Brc1ccc2ncccc2c1,xphos-pd-g4,K3PO4,2-Me-THF,16.94167033
469,Brc1ccc2ncccc2c1,brettphos-pd-g4,P2Et,DMSO,17.32407281
470,Brc1ccc2ncccc2c1,brettphos-pd-g4,P2Et,"1,4-Dioxane",20.09972932
471,Brc1ccc2ncccc2c1,brettphos-pd-g4,P2Et,t-AmOH,22.76012907
472,Brc1ccc2ncccc2c1,brettphos-pd-g4,P2Et,DMA,20.62387384
473,Brc1ccc2ncccc2c1,brettphos-pd-g4,P2Et,Toluene,21.74855566
474,Brc1ccc2ncccc2c1,brettphos-pd-g4,P2Et,2-Me-THF,19.01786983
475,Brc1ccc2ncccc2c1,brettphos-pd-g4,LiOTMS,DMSO,11.84846051
476,Brc1ccc2ncccc2c1,brettphos-pd-g4,LiOTMS,"1,4-Dioxane",14.62411703
477,Brc1ccc2ncccc2c1,brettphos-pd-g4,LiOTMS,t-AmOH,17.28451678
478,Brc1ccc2ncccc2c1,brettphos-pd-g4,LiOTMS,DMA,15.14826154
479,Brc1ccc2ncccc2c1,brettphos-pd-g4,LiOTMS,Toluene,16.27294337
480,Brc1ccc2ncccc2c1,brettphos-pd-g4,LiOTMS,2-Me-THF,13.54225754
481,Brc1ccc2ncccc2c1,brettphos-pd-g4,NaOtBu,DMSO,17.99475549
482,Brc1ccc2ncccc2c1,brettphos-pd-g4,NaOtBu,"1,4-Dioxane",20.770412
483,Brc1ccc2ncccc2c1,brettphos-pd-g4,NaOtBu,t-AmOH,23.43081175
484,Brc1ccc2ncccc2c1,brettphos-pd-g4,NaOtBu,DMA,21.29455652
485,Brc1ccc2ncccc2c1,brettphos-pd-g4,NaOtBu,Toluene,22.41923834
486,Brc1ccc2ncccc2c1,brettphos-pd-g4,NaOtBu,2-Me-THF,19.68855251
487,Brc1ccc2ncccc2c1,brettphos-pd-g4,Cs2CO3,DMSO,18.13441578
488,Brc1ccc2ncccc2c1,brettphos-pd-g4,Cs2CO3,"1,4-Dioxane",20.91007229
489,Brc1ccc2ncccc2c1,brettphos-pd-g4,Cs2CO3,t-AmOH,23.57047204
490,Brc1ccc2ncccc2c1,brettphos-pd-g4,Cs2CO3,DMA,21.43421681
491,Brc1ccc2ncccc2c1,brettphos-pd-g4,Cs2CO3,Toluene,22.55889863
492,Brc1ccc2ncccc2c1,brettphos-pd-g4,Cs2CO3,2-Me-THF,19.8282128
493,Brc1ccc2ncccc2c1,brettphos-pd-g4,BTMG,DMSO,13.20437126
494,Brc1ccc2ncccc2c1,brettphos-pd-g4,BTMG,"1,4-Dioxane",15.98002777
495,Brc1ccc2ncccc2c1,brettphos-pd-g4,BTMG,t-AmOH,18.64042752
496,Brc1ccc2ncccc2c1,brettphos-pd-g4,BTMG,DMA,16.50417229
497,Brc1ccc2ncccc2c1,brettphos-pd-g4,BTMG,Toluene,17.62885411
498,Brc1ccc2ncccc2c1,brettphos-pd-g4,BTMG,2-Me-THF,14.89816828
499,Brc1ccc2ncccc2c1,brettphos-pd-g4,K3PO4,DMSO,13.49795713
500,Brc1ccc2ncccc2c1,brettphos-pd-g4,K3PO4,"1,4-Dioxane",16.27361364
501,Brc1ccc2ncccc2c1,brettphos-pd-g4,K3PO4,t-AmOH,18.9340134
502,Brc1ccc2ncccc2c1,brettphos-pd-g4,K3PO4,DMA,16.79775816
503,Brc1ccc2ncccc2c1,brettphos-pd-g4,K3PO4,Toluene,17.92243999
504,Brc1ccc2ncccc2c1,brettphos-pd-g4,K3PO4,2-Me-THF,15.19175416
505,Brc1ccc2ncccc2c1,xphos-pd-g3-triflate,P2Et,DMSO,0
506,Brc1ccc2ncccc2c1,xphos-pd-g3-triflate,P2Et,"1,4-Dioxane",0.75385775
507,Brc1ccc2ncccc2c1,xphos-pd-g3-triflate,P2Et,t-AmOH,3.414257502
508,Brc1ccc2ncccc2c1,xphos-pd-g3-triflate,P2Et,DMA,1.278002269
509,Brc1ccc2ncccc2c1,xphos-pd-g3-triflate,P2Et,Toluene,2.402684094
510,Brc1ccc2ncccc2c1,xphos-pd-g3-triflate,P2Et,2-Me-THF,0
511,Brc1ccc2ncccc2c1,xphos-pd-g3-triflate,LiOTMS,DMSO,0
512,Brc1ccc2ncccc2c1,xphos-pd-g3-triflate,LiOTMS,"1,4-Dioxane",0
513,Brc1ccc2ncccc2c1,xphos-pd-g3-triflate,LiOTMS,t-AmOH,0
514,Brc1ccc2ncccc2c1,xphos-pd-g3-triflate,LiOTMS,DMA,0
515,Brc1ccc2ncccc2c1,xphos-pd-g3-triflate,LiOTMS,Toluene,0
516,Brc1ccc2ncccc2c1,xphos-pd-g3-triflate,LiOTMS,2-Me-THF,0
517,Brc1ccc2ncccc2c1,xphos-pd-g3-triflate,NaOtBu,DMSO,0
518,Brc1ccc2ncccc2c1,xphos-pd-g3-triflate,NaOtBu,"1,4-Dioxane",1.424540428
519,Brc1ccc2ncccc2c1,xphos-pd-g3-triflate,NaOtBu,t-AmOH,4.08494018
520,Brc1ccc2ncccc2c1,xphos-pd-g3-triflate,NaOtBu,DMA,1.948684947
521,Brc1ccc2ncccc2c1,xphos-pd-g3-triflate,NaOtBu,Toluene,3.073366772
522,Brc1ccc2ncccc2c1,xphos-pd-g3-triflate,NaOtBu,2-Me-THF,0.342680942
523,Brc1ccc2ncccc2c1,xphos-pd-g3-triflate,Cs2CO3,DMSO,0
524,Brc1ccc2ncccc2c1,xphos-pd-g3-triflate,Cs2CO3,"1,4-Dioxane",1.56420072
525,Brc1ccc2ncccc2c1,xphos-pd-g3-triflate,Cs2CO3,t-AmOH,4.224600473
526,Brc1ccc2ncccc2c1,xphos-pd-g3-triflate,Cs2CO3,DMA,2.08834524
527,Brc1ccc2ncccc2c1,xphos-pd-g3-triflate,Cs2CO3,Toluene,3.213027065
528,Brc1ccc2ncccc2c1,xphos-pd-g3-triflate,Cs2CO3,2-Me-THF,0.482341235
529,Brc1ccc2ncccc2c1,xphos-pd-g3-triflate,BTMG,DMSO,0
530,Brc1ccc2ncccc2c1,xphos-pd-g3-triflate,BTMG,"1,4-Dioxane",0
531,Brc1ccc2ncccc2c1,xphos-pd-g3-triflate,BTMG,t-AmOH,0
532,Brc1ccc2ncccc2c1,xphos-pd-g3-triflate,BTMG,DMA,0
533,Brc1ccc2ncccc2c1,xphos-pd-g3-triflate,BTMG,Toluene,0
534,Brc1ccc2ncccc2c1,xphos-pd-g3-triflate,BTMG,2-Me-THF,0
535,Brc1ccc2ncccc2c1,xphos-pd-g3-triflate,K3PO4,DMSO,0
536,Brc1ccc2ncccc2c1,xphos-pd-g3-triflate,K3PO4,"1,4-Dioxane",0
537,Brc1ccc2ncccc2c1,xphos-pd-g3-triflate,K3PO4,t-AmOH,0
538,Brc1ccc2ncccc2c1,xphos-pd-g3-triflate,K3PO4,DMA,0
539,Brc1ccc2ncccc2c1,xphos-pd-g3-triflate,K3PO4,Toluene,0
540,Brc1ccc2ncccc2c1,xphos-pd-g3-triflate,K3PO4,2-Me-THF,0
541,Brc1ccc2ncccc2c1,adbrettphos-pd-g3-triflate,P2Et,DMSO,11.32234257
542,Brc1ccc2ncccc2c1,adbrettphos-pd-g3-triflate,P2Et,"1,4-Dioxane",14.09799908
543,Brc1ccc2ncccc2c1,adbrettphos-pd-g3-triflate,P2Et,t-AmOH,16.75839883
544,Brc1ccc2ncccc2c1,adbrettphos-pd-g3-triflate,P2Et,DMA,14.6221436
545,Brc1ccc2ncccc2c1,adbrettphos-pd-g3-triflate,P2Et,Toluene,15.74682543
546,Brc1ccc2ncccc2c1,adbrettphos-pd-g3-triflate,P2Et,2-Me-THF,13.0161396
547,Brc1ccc2ncccc2c1,adbrettphos-pd-g3-triflate,LiOTMS,DMSO,5.846730277
548,Brc1ccc2ncccc2c1,adbrettphos-pd-g3-triflate,LiOTMS,"1,4-Dioxane",8.622386788
549,Brc1ccc2ncccc2c1,adbrettphos-pd-g3-triflate,LiOTMS,t-AmOH,11.28278654
550,Brc1ccc2ncccc2c1,adbrettphos-pd-g3-triflate,LiOTMS,DMA,9.146531307
551,Brc1ccc2ncccc2c1,adbrettphos-pd-g3-triflate,LiOTMS,Toluene,10.27121313
552,Brc1ccc2ncccc2c1,adbrettphos-pd-g3-triflate,LiOTMS,2-Me-THF,7.540527302
553,Brc1ccc2ncccc2c1,adbrettphos-pd-g3-triflate,NaOtBu,DMSO,11.99302525
554,Brc1ccc2ncccc2c1,adbrettphos-pd-g3-triflate,NaOtBu,"1,4-Dioxane",14.76868176
555,Brc1ccc2ncccc2c1,adbrettphos-pd-g3-triflate,NaOtBu,t-AmOH,17.42908151
556,Brc1ccc2ncccc2c1,adbrettphos-pd-g3-triflate,NaOtBu,DMA,15.29282628
557,Brc1ccc2ncccc2c1,adbrettphos-pd-g3-triflate,NaOtBu,Toluene,16.4175081
558,Brc1ccc2ncccc2c1,adbrettphos-pd-g3-triflate,NaOtBu,2-Me-THF,13.68682227
559,Brc1ccc2ncccc2c1,adbrettphos-pd-g3-triflate,Cs2CO3,DMSO,12.13268554
560,Brc1ccc2ncccc2c1,adbrettphos-pd-g3-triflate,Cs2CO3,"1,4-Dioxane",14.90834205
561,Brc1ccc2ncccc2c1,adbrettphos-pd-g3-triflate,Cs2CO3,t-AmOH,17.56874181
562,Brc1ccc2ncccc2c1,adbrettphos-pd-g3-triflate,Cs2CO3,DMA,15.43248657
563,Brc1ccc2ncccc2c1,adbrettphos-pd-g3-triflate,Cs2CO3,Toluene,16.5571684
564,Brc1ccc2ncccc2c1,adbrettphos-pd-g3-triflate,Cs2CO3,2-Me-THF,13.82648257
565,Brc1ccc2ncccc2c1,adbrettphos-pd-g3-triflate,BTMG,DMSO,7.20264102
566,Brc1ccc2ncccc2c1,adbrettphos-pd-g3-triflate,BTMG,"1,4-Dioxane",9.978297531
567,Brc1ccc2ncccc2c1,adbrettphos-pd-g3-triflate,BTMG,t-AmOH,12.63869728
568,Brc1ccc2ncccc2c1,adbrettphos-pd-g3-triflate,BTMG,DMA,10.50244205
569,Brc1ccc2ncccc2c1,adbrettphos-pd-g3-triflate,BTMG,Toluene,11.62712388
570,Brc1ccc2ncccc2c1,adbrettphos-pd-g3-triflate,BTMG,2-Me-THF,8.896438046
571,Brc1ccc2ncccc2c1,adbrettphos-pd-g3-triflate,K3PO4,DMSO,7.496226895
572,Brc1ccc2ncccc2c1,adbrettphos-pd-g3-triflate,K3PO4,"1,4-Dioxane",10.27188341
573,Brc1ccc2ncccc2c1,adbrettphos-pd-g3-triflate,K3PO4,t-AmOH,12.93228316
574,Brc1ccc2ncccc2c1,adbrettphos-pd-g3-triflate,K3PO4,DMA,10.79602793
575,Brc1ccc2ncccc2c1,adbrettphos-pd-g3-triflate,K3PO4,Toluene,11.92070975
576,Brc1ccc2ncccc2c1,adbrettphos-pd-g3-triflate,K3PO4,2-Me-THF,9.190023921
577,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,cphos-pd-g4,P2Et,DMSO,0
578,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,cphos-pd-g4,P2Et,"1,4-Dioxane",0.33720358
579,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,cphos-pd-g4,P2Et,t-AmOH,2.997603332
580,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,cphos-pd-g4,P2Et,DMA,0.861348099
581,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,cphos-pd-g4,P2Et,Toluene,1.986029924
582,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,cphos-pd-g4,P2Et,2-Me-THF,0
583,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,cphos-pd-g4,LiOTMS,DMSO,0
584,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,cphos-pd-g4,LiOTMS,"1,4-Dioxane",0
585,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,cphos-pd-g4,LiOTMS,t-AmOH,0
586,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,cphos-pd-g4,LiOTMS,DMA,0
587,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,cphos-pd-g4,LiOTMS,Toluene,0
588,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,cphos-pd-g4,LiOTMS,2-Me-THF,0
589,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,cphos-pd-g4,NaOtBu,DMSO,0
590,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,cphos-pd-g4,NaOtBu,"1,4-Dioxane",1.007886258
591,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,cphos-pd-g4,NaOtBu,t-AmOH,3.66828601
592,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,cphos-pd-g4,NaOtBu,DMA,1.532030777
593,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,cphos-pd-g4,NaOtBu,Toluene,2.656712602
594,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,cphos-pd-g4,NaOtBu,2-Me-THF,0
595,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,cphos-pd-g4,Cs2CO3,DMSO,0
596,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,cphos-pd-g4,Cs2CO3,"1,4-Dioxane",1.14754655
597,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,cphos-pd-g4,Cs2CO3,t-AmOH,3.807946303
598,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,cphos-pd-g4,Cs2CO3,DMA,1.671691069
599,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,cphos-pd-g4,Cs2CO3,Toluene,2.796372895
600,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,cphos-pd-g4,Cs2CO3,2-Me-THF,0.065687064
601,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,cphos-pd-g4,BTMG,DMSO,0
602,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,cphos-pd-g4,BTMG,"1,4-Dioxane",0
603,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,cphos-pd-g4,BTMG,t-AmOH,0
604,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,cphos-pd-g4,BTMG,DMA,0
605,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,cphos-pd-g4,BTMG,Toluene,0
